,,,value,value
,,,mean,std
dataset,model,metric,,
boston,gpr,mae,0.20572975819219538,0.011759294798680672
boston,gpr,nlpd,6.110546500878355,3.3101711828473057
boston,gpr,rmse,0.3029410953736509,0.023846314447728525
boston,gpr,training_time,5.257618375006132,2.1629151927293098
boston,rtgpr_irq,mae,0.2053584677536912,0.008504595251994627
boston,rtgpr_irq,nlpd,10.524024211394503,6.0395811319728425
boston,rtgpr_irq,rmse,0.32036087319364287,0.022111277274690852
boston,rtgpr_irq,training_time,17.970949633204146,7.23094490639436
boston,t_vgp,mae,0.20048195158723697,0.008657057965287545
boston,t_vgp,nlpd,4.050793841899212,0.8004456918303176
boston,t_vgp,rmse,0.29622524092161034,0.015565785219493741
boston,t_vgp,training_time,34.404080550099025,0.7907467339236073
energy,gpr,mae,0.027513558328340893,0.005080844657197004
energy,gpr,nlpd,-141.4959231361251,9.976718015624964
energy,gpr,rmse,0.03929507121255056,0.01007871148050828
energy,gpr,training_time,5.13039398319961,1.242511034795061
energy,rtgpr_irq,mae,0.021248183771894885,0.0043686011456012565
energy,rtgpr_irq,nlpd,-162.60265355252608,13.735722354388985
energy,rtgpr_irq,rmse,0.040746396969551985,0.0024654961587032118
energy,rtgpr_irq,training_time,7.768026401001407,2.7830025900060473
energy,t_vgp,mae,0.0330376365928762,0.00959928706503095
energy,t_vgp,nlpd,-128.93058800252277,14.567453070617328
energy,t_vgp,rmse,0.04868812705367542,0.017812488799539335
energy,t_vgp,training_time,68.73873953340225,1.8380626181449218
synthetic,gpr,mae,0.08971810314468284,7.522981203913758e-09
synthetic,gpr,nlpd,-24.034974687501478,1.5565927974473372e-06
synthetic,gpr,rmse,0.10880469386216596,5.835087392148654e-09
synthetic,gpr,training_time,1.0557545083953301,0.02885273790500559
synthetic,rtgpr_irq,mae,0.08724688360104256,4.2534676945023965e-08
synthetic,rtgpr_irq,nlpd,-24.992838105325326,2.756585612093253e-05
synthetic,rtgpr_irq,rmse,0.10608587832828484,5.878838014866524e-08
synthetic,rtgpr_irq,training_time,1.7212835583020933,0.11965783745574521
synthetic,t_vgp,mae,0.08987430239354863,2.9974038134492524e-06
synthetic,t_vgp,nlpd,-23.938935143580043,0.0006757708075928934
synthetic,t_vgp,rmse,0.10865316325495693,2.2528948991457463e-06
synthetic,t_vgp,training_time,8.801116470593843,0.8679256620941245
yacht,gpr,mae,0.01159567484392605,0.005240825263405966
yacht,gpr,nlpd,-77.4535861135103,32.166722989634174
yacht,gpr,rmse,0.02276021091773564,0.0161544024652969
yacht,gpr,training_time,1.401152537408052,0.16141071295903409
yacht,rtgpr_irq,mae,0.01706322603345843,0.008837449787779455
yacht,rtgpr_irq,nlpd,-72.8191065089952,29.348128887861677
yacht,rtgpr_irq,rmse,0.03426591020639091,0.01588194349042071
yacht,rtgpr_irq,training_time,2.5085581210034436,0.3697408064895219
yacht,t_vgp,mae,0.01455373327206178,0.0013336699113738705
yacht,t_vgp,nlpd,-72.72543456329709,1.3480719161336432
yacht,t_vgp,rmse,0.02322715011903544,0.0014024763208833617
yacht,t_vgp,training_time,16.180842754105107,0.5201783569952176
